Filename	DirectLink	FileLink
B21420438	https://drive.google.com/uc?id=16XFxpfWrouv_m4jlm6akFO4t-VM2wlIz&export=download	https://drive.google.com/file/d/16XFxpfWrouv_m4jlm6akFO4t-VM2wlIz/edit
B21420413	https://drive.google.com/uc?id=1YS1eIXSlr0hVAAi9S8lDcVU1DxpdBxj_&export=download	https://drive.google.com/file/d/1YS1eIXSlr0hVAAi9S8lDcVU1DxpdBxj_/edit
B21420399	https://drive.google.com/uc?id=1OUZt5wfEep0x6sw80CCKyzXpaZy4Ahsx&export=download	https://drive.google.com/file/d/1OUZt5wfEep0x6sw80CCKyzXpaZy4Ahsx/edit
B21420390	https://drive.google.com/uc?id=1ztuz2YEU6Pm-Gaa4IWiYwth96cjhwZdX&export=download	https://drive.google.com/file/d/1ztuz2YEU6Pm-Gaa4IWiYwth96cjhwZdX/edit
B21420374	https://drive.google.com/uc?id=1bCthafhEpuO47-JRk58pNfQPxRmhTGW0&export=download	https://drive.google.com/file/d/1bCthafhEpuO47-JRk58pNfQPxRmhTGW0/edit
B21420369	https://drive.google.com/uc?id=1nBCtj51d-hgsD5zOYy5erEfED1PNyIQ0&export=download	https://drive.google.com/file/d/1nBCtj51d-hgsD5zOYy5erEfED1PNyIQ0/edit
B21420311	https://drive.google.com/uc?id=1tyjaJPgXdl16oqSx2T9djcDAhsTKSxs-&export=download	https://drive.google.com/file/d/1tyjaJPgXdl16oqSx2T9djcDAhsTKSxs-/edit
B21420302	https://drive.google.com/uc?id=1pXNlV6IW48z08dSzNR1adZtTZ41-R34A&export=download	https://drive.google.com/file/d/1pXNlV6IW48z08dSzNR1adZtTZ41-R34A/edit
B21420269	https://drive.google.com/uc?id=1f8S8OLEXkk5X4H__WwWSZant8swMkm9d&export=download	https://drive.google.com/file/d/1f8S8OLEXkk5X4H__WwWSZant8swMkm9d/edit
B21420260	https://drive.google.com/uc?id=17gJGJYcs66rz0RaBM1jWuvJlTNWVbKJB&export=download	https://drive.google.com/file/d/17gJGJYcs66rz0RaBM1jWuvJlTNWVbKJB/edit
B21420245	https://drive.google.com/uc?id=1W8RF_jq8vm44wqTm8x7c8NFZyYoawYMZ&export=download	https://drive.google.com/file/d/1W8RF_jq8vm44wqTm8x7c8NFZyYoawYMZ/edit
B21420239	https://drive.google.com/uc?id=1H6RrbCVy_7R1mS6bMmNbeA3AV4mZVWpx&export=download	https://drive.google.com/file/d/1H6RrbCVy_7R1mS6bMmNbeA3AV4mZVWpx/edit
B21420234	https://drive.google.com/uc?id=199uKcSMp0EY7GnkB0WvMnq0J6lKcQ8wp&export=download	https://drive.google.com/file/d/199uKcSMp0EY7GnkB0WvMnq0J6lKcQ8wp/edit
B21420219	https://drive.google.com/uc?id=1JZGwdsEbBMBpCTjjsLUmYSmncPgIIZCi&export=download	https://drive.google.com/file/d/1JZGwdsEbBMBpCTjjsLUmYSmncPgIIZCi/edit
B21420192	https://drive.google.com/uc?id=11w86Qa5738RtEpQUgOeus0zBh1J_lsLI&export=download	https://drive.google.com/file/d/11w86Qa5738RtEpQUgOeus0zBh1J_lsLI/edit
B21420191	https://drive.google.com/uc?id=1qQEp_hvk8Ykvp68Cf0gi9V-0_gf-9t5g&export=download	https://drive.google.com/file/d/1qQEp_hvk8Ykvp68Cf0gi9V-0_gf-9t5g/edit
B21420156	https://drive.google.com/uc?id=1qfrnS9MbLsMuIStSds9zxSE9hnSc7SIb&export=download	https://drive.google.com/file/d/1qfrnS9MbLsMuIStSds9zxSE9hnSc7SIb/edit
